Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
PDCalibrationv1,OutputCalibrationTable,AlignComponentsv1,CalibrationTable ,22
CreateTransmissionWorkspaceAutov1,WavelengthMin,RemoveLowResTOFv1,MinWavelength ,124
ElasticWindowMultiplev1,OutputInQ,ElasticWindowv1,OutputInQSquared ,22
RefRoiv1,SumPixels,SmoothNeighboursv1,SumPixelsX SumPixelsY ,25236
RefLReductionv1,IncidentMediumSelected,LRAutoReductionv1,IncidentMedium ,14
SNSPowderReductionv1,CropWavelengthMax,ReflectometryReductionOnev1,WavelengthMax ,757
ConvertCWPDMDToSpectrav1,ScaleFactor,ApplyPaalmanPingsCorrectionv1,CanScaleFactor ,2
FindDetectorsParv1,ParFile,LoadEmptyVesuviov1,InstrumentParFile ,126
PDToGUDRUNv1,GroupingFile,GetDetOffsetsMultiPeaksv1,GroupingFileName ,1
CylinderAbsorptionv1,CylinderSampleHeight,IndirectFlatPlateAbsorptionv2,SampleHeight ,289
FindUBUsingMinMaxDv1,MinD,AlignAndFocusPowderFromFilesv1,DMin ,6
ElasticWindowv1,BackgroundRangeStart,IndirectCalibrationv1,BackgroundRange ,2
SANSBeamSpreaderTransmissionv1,SpreaderTransmissionError,SetupEQSANSReductionv1,TransmissionError ,0
SetupEQSANSReductionv1,SensitivityBeamCenterMethod,SetupHFIRReductionv1,BeamCenterMethod ,10888
IndirectAnnulusAbsorptionv1,SampleDensityType,VesuvioCorrectionsv1,SampleDensity ,10
PawleyFitv1,PeakProfileFunction,IntegratePeaksMDv1,ProfileFunction ,2
AnnularRingAbsorptionv1,SampleNumberDensity,VesuvioCalculateMSv1,SampleDensity ,10
MergeLogsv1,MergedLogName,GetTimeSeriesLogInformationv1,LogName ,2
CylinderPaalmanPingsCorrectionv2,CanChemicalFormula,IndirectTransmissionv1,ChemicalFormula ,9
FitGaussianv1,PeakCentre,TOSCABankCorrectionv1,TargetPeakCentre ,15
SetupHFIRReductionv1,SensitivityDarkCurrentFile,SetupILLD33Reductionv1,DarkCurrentFile ,4666
ReflectometryReductionOnev2,WavelengthMax,EQSANSTofStructurev1,WavelengthMaxFrame2 ,21
OSIRISDiffractionReductionv1,CalFile,AlignAndFocusPowderv1,CalFileName ,6
AnnularRingAbsorptionv1,CanInnerRadius,IndirectCylinderAbsorptionv1,CanRadius ,10
Stitch1Dv3,ManualScaleFactor,ISISIndirectEnergyTransferv1,ScaleFactor ,2088
GroupDetectorsv1,DetectorList,SetupILLD33Reductionv1,MaskedDetectorList ,6
FitPeakv1,PeakRange,IndirectILLReductionQENSv1,CalibrationPeakRange ,2
SANSDirectBeamTransmissionv1,ThetaDependent,SetupEQSANSReductionv1,ThetaDependentTransmission ,5707
LoadNexusMonitorsv2,LoadHistoMonitors,LoadEventAndCompressv1,LoadMonitors ,24781
GetEiT0atSNSv1,IncidentEnergyGuess,SuggestTibHYSPECv1,IncidentEnergy ,31
PoldiCreatePeaksFromFilev1,InputFile,MaskDetectorsIfv1,InputCalFile ,3
PDToPDFgetNv1,MaxChunkSize,NexusTesterv1,ChunkSize ,2
IntegratePeaksCWSDv1,ScaleFactor,IndirectAnnulusAbsorptionv2,CanScaleFactor ,2725
SetupEQSANSReductionv1,TransmissionDarkCurrentFile,SetupILLD33Reductionv1,DarkCurrentFile BckTransmissionDarkCurrentFile ,10888
UserFunction1Dv1,StartX,MSDFitv1,XStart ,38
EQSANSTofStructurev1,WavelengthMinFrame2,TOFSANSResolutionv1,MinWavelength ,47572
FindUBUsingMinMaxDv1,MinD,SaveHKLv1,MinDSpacing ,6
AbortRemoteJobv2,JobID,SCARFTomoReconstructionv1,DownloadJobID CancelJobID ,3
SetupHFIRReductionv1,TransmissionBeamCenterMethod,SetupILLD33Reductionv1,BeamCenterMethod BckTransmissionBeamCenterMethod ,4666
SANSDirectBeamTransmissionv1,BeamCenterX,SANSBeamFinderv1,FoundBeamCenterX ,5707
